FullName,Email,Phone,TransactionType,Amount,TransactionDate,AccountType,Balance,OpeningDate,LoanAmount,LoanType,StartDate,EndDate,InterestRate
Carly Mitchell,zachary24@example.org,(728)923-5061,deposit,150.47,2020-03-04,Checking,6878.1,2019-12-18,8056.59,Mortgage,2019-11-16,2032-12-12 04:59:17.905853,7.33
Sarah Green,lnelson@example.net,(390)584-3409x128,deposit,68.11,2022-05-16,Checking,5164.29,2022-09-04,45034.48,Mortgage,2019-10-04,2034-06-24 04:59:17.906623,2.58
Martha Smith,darlenegoodwin@example.net,+1-665-427-6242x5731,withdrawal,125.53,2021-01-25,Credit,8539.34,2023-03-25,,,,,
Norman Lee,keithgarcia@example.org,+1-225-907-5033,withdrawal,168.54,2020-09-14,Credit,9770.03,2019-06-20,35911.84,Mortgage,2023-02-15,2045-02-21 04:59:17.905175,4.0
Norman Lee,keithgarcia@example.org,+1-225-907-5033,withdrawal,168.54,2020-09-14,Credit,9770.03,2019-06-20,14085.72,Personal,2019-04-24,2038-11-17 04:59:17.905253,2.96
Norman Lee,keithgarcia@example.org,+1-225-907-5033,withdrawal,168.54,2020-09-14,Credit,9770.03,2019-06-20,26011.89,Personal,2020-01-11,2049-05-18 04:59:17.914544,6.82
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,236.09,2020-11-10,Credit,444.6,2021-11-01,32428.9,Mortgage,2021-06-24,2050-01-08 04:59:17.907588,2.12
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,236.09,2020-11-10,Credit,444.6,2021-11-01,31406.77,Personal,2021-02-27,2038-10-12 04:59:17.907821,4.63
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,236.09,2020-11-10,Credit,444.6,2021-11-01,27834.0,Personal,2019-12-05,2037-08-15 04:59:17.909497,2.15
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,236.09,2020-11-10,Credit,444.6,2021-11-01,27873.08,Auto,2022-01-19,2037-06-03 04:59:17.913974,7.03
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,297.99,2023-05-01,Savings,8330.83,2024-01-23,26282.21,Auto,2020-01-09,2049-11-06 04:59:17.907764,3.51
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,297.99,2023-05-01,Savings,8330.83,2024-01-23,40432.8,Mortgage,2023-10-18,2052-01-14 04:59:17.913174,4.29
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,297.99,2023-05-01,Savings,8330.83,2024-01-23,49124.49,Auto,2022-11-05,2031-07-07 04:59:17.914897,5.58
Monica Graves,xday@example.net,402.918.5084x3030,deposit,147.5,2020-01-18,Savings,8648.97,2022-06-05,48233.91,Personal,2023-12-03,2048-03-25 04:59:17.908108,4.7
Monica Graves,xday@example.net,402.918.5084x3030,deposit,147.5,2020-01-18,Savings,8648.97,2022-06-05,5710.02,Mortgage,2023-11-28,2047-03-11 04:59:17.909104,5.45
Kim Stone,garrett28@example.org,001-668-236-9938,deposit,145.72,2019-10-14,Savings,7446.25,2023-10-29,,,,,
Shelby Smith,carolyn11@example.com,580.272.0301x65432,withdrawal,351.38,2022-05-19,Checking,9529.29,2023-05-07,,,,,
Eric Anderson,spencer16@example.com,851-945-5888,deposit,403.71,2023-11-14,Savings,5051.48,2022-05-16,,,,,
Ryan Alexander,loganjohn@example.org,900.377.1792x148,deposit,358.37,2022-08-30,Checking,4880.23,2020-09-30,18162.6,Personal,2023-11-09,2028-11-08 04:59:17.906084,2.12
Jason Bennett,joseph97@example.net,(632)674-7662x30858,deposit,140.67,2022-11-08,Savings,8380.64,2021-11-24,42355.47,Mortgage,2019-02-23,2036-08-20 04:59:17.911618,7.05
Jason Bennett,joseph97@example.net,(632)674-7662x30858,deposit,140.67,2022-11-08,Savings,8380.64,2021-11-24,35193.83,Mortgage,2021-01-17,2029-09-08 04:59:17.912750,1.85
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,deposit,268.39,2023-02-11,Credit,7252.65,2019-03-14,11074.47,Personal,2022-02-11,2032-05-06 04:59:17.908590,5.36
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,deposit,268.39,2023-02-11,Credit,7252.65,2019-03-14,38903.23,Personal,2021-07-14,2042-10-07 04:59:17.909559,2.28
Sharon Dunn,hillemily@example.org,+1-257-930-5427x0665,deposit,93.16,2020-09-15,Checking,4000.76,2023-09-17,38009.14,Personal,2023-04-11,2052-03-25 04:59:17.906900,5.8
Sharon Dunn,hillemily@example.org,+1-257-930-5427x0665,deposit,93.16,2020-09-15,Checking,4000.76,2023-09-17,22725.99,Auto,2019-07-11,2045-04-16 04:59:17.907015,5.42
Sharon Dunn,hillemily@example.org,+1-257-930-5427x0665,deposit,93.16,2020-09-15,Checking,4000.76,2023-09-17,8040.33,Mortgage,2019-03-28,2026-12-04 04:59:17.912840,6.4
Peter Callahan,miranda13@example.org,+1-790-969-3518,withdrawal,384.83,2024-01-22,Savings,5436.03,2019-04-30,32850.56,Personal,2021-11-24,2030-09-22 04:59:17.907706,2.81
Heather Wright,adamssheila@example.net,850-282-6951x4975,deposit,497.14,2019-10-10,Credit,3099.1,2022-01-25,13931.18,Mortgage,2021-01-30,2036-10-09 04:59:17.910193,3.35
Lauren Gray,kenneth99@example.net,218.715.2894x614,deposit,30.0,2023-02-24,Checking,4765.84,2022-02-19,48933.91,Auto,2020-08-06,2036-11-01 04:59:17.905052,4.43
Lauren Gray,kenneth99@example.net,218.715.2894x614,deposit,30.0,2023-02-24,Checking,4765.84,2022-02-19,47062.38,Mortgage,2019-10-22,2047-01-26 04:59:17.909784,6.27
Peter Callahan,miranda13@example.org,+1-790-969-3518,deposit,494.22,2022-10-02,Checking,6400.46,2021-03-22,32850.56,Personal,2021-11-24,2030-09-22 04:59:17.907706,2.81
Stacy Oliver,matthew64@example.net,+1-520-295-6567x57281,withdrawal,465.1,2021-06-20,Checking,3099.96,2023-05-05,,,,,
Daniel Edwards,byoung@example.org,+1-615-756-7330,deposit,306.02,2019-02-28,Credit,1496.1,2021-06-16,34427.31,Mortgage,2022-07-26,2031-01-18 04:59:17.909902,4.02
Daniel Edwards,byoung@example.org,+1-615-756-7330,deposit,306.02,2019-02-28,Credit,1496.1,2021-06-16,17430.29,Auto,2023-10-16,2045-12-04 04:59:17.910330,2.8
Daniel Edwards,byoung@example.org,+1-615-756-7330,deposit,306.02,2019-02-28,Credit,1496.1,2021-06-16,14964.93,Auto,2020-12-22,2042-10-19 04:59:17.914385,5.33
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,105.12,2022-11-29,Credit,6681.52,2021-11-09,19607.01,Mortgage,2023-07-19,2033-05-07 04:59:17.908356,2.93
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,105.12,2022-11-29,Credit,6681.52,2021-11-09,39348.0,Auto,2020-02-09,2030-01-30 04:59:17.911545,4.95
Carly Mitchell,zachary24@example.org,(728)923-5061,withdrawal,412.17,2022-11-17,Savings,3506.26,2019-12-04,8056.59,Mortgage,2019-11-16,2032-12-12 04:59:17.905853,7.33
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,328.65,2020-11-16,Savings,1443.64,2020-05-30,49675.33,Auto,2021-12-13,2036-08-10 04:59:17.909048,3.89
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,328.65,2020-11-16,Savings,1443.64,2020-05-30,31033.48,Personal,2023-11-11,2051-04-06 04:59:17.911837,5.66
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,328.65,2020-11-16,Savings,1443.64,2020-05-30,49754.29,Mortgage,2019-11-14,2037-12-30 04:59:17.914202,4.83
Jason Martin,isabella87@example.com,+1-990-327-2307x7625,deposit,448.75,2021-10-31,Checking,4797.54,2022-03-28,8419.93,Personal,2021-10-29,2038-03-25 04:59:17.908413,4.1
Charles Wise,campossarah@example.net,532.804.9131x538,withdrawal,36.85,2021-10-05,Credit,2920.84,2019-12-03,20109.87,Auto,2021-06-30,2053-07-24 04:59:17.906568,4.66
Sarah Green,lnelson@example.net,(390)584-3409x128,deposit,430.92,2023-09-12,Checking,8232.61,2019-06-27,45034.48,Mortgage,2019-10-04,2034-06-24 04:59:17.906623,2.58
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,167.84,2020-03-02,Checking,2161.94,2021-11-06,25666.75,Auto,2023-05-09,2039-04-28 04:59:17.905741,6.84
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,167.84,2020-03-02,Checking,2161.94,2021-11-06,23853.85,Personal,2024-01-30,2038-02-12 04:59:17.910713,7.41
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,167.84,2020-03-02,Checking,2161.94,2021-11-06,8092.2,Personal,2021-08-18,2036-04-08 04:59:17.911277,2.85
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,withdrawal,387.49,2023-03-03,Savings,8330.83,2024-01-23,26282.21,Auto,2020-01-09,2049-11-06 04:59:17.907764,3.51
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,withdrawal,387.49,2023-03-03,Savings,8330.83,2024-01-23,40432.8,Mortgage,2023-10-18,2052-01-14 04:59:17.913174,4.29
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,withdrawal,387.49,2023-03-03,Savings,8330.83,2024-01-23,49124.49,Auto,2022-11-05,2031-07-07 04:59:17.914897,5.58
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,474.37,2019-08-11,Savings,8330.83,2024-01-23,26282.21,Auto,2020-01-09,2049-11-06 04:59:17.907764,3.51
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,474.37,2019-08-11,Savings,8330.83,2024-01-23,40432.8,Mortgage,2023-10-18,2052-01-14 04:59:17.913174,4.29
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,474.37,2019-08-11,Savings,8330.83,2024-01-23,49124.49,Auto,2022-11-05,2031-07-07 04:59:17.914897,5.58
Danny Brown,michellearnold@example.org,824-606-7014x9045,deposit,227.4,2023-12-16,Checking,2511.55,2023-02-23,12965.19,Mortgage,2022-07-17,2032-12-27 04:59:17.908534,7.43
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,370.16,2020-11-15,Credit,2881.24,2019-05-06,32428.9,Mortgage,2021-06-24,2050-01-08 04:59:17.907588,2.12
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,370.16,2020-11-15,Credit,2881.24,2019-05-06,31406.77,Personal,2021-02-27,2038-10-12 04:59:17.907821,4.63
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,370.16,2020-11-15,Credit,2881.24,2019-05-06,27834.0,Personal,2019-12-05,2037-08-15 04:59:17.909497,2.15
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,370.16,2020-11-15,Credit,2881.24,2019-05-06,27873.08,Auto,2022-01-19,2037-06-03 04:59:17.913974,7.03
Jasmin Palmer,lucascharles@example.com,827.703.9796x89557,deposit,351.68,2019-04-26,Checking,9461.84,2021-05-11,,,,,
Daniel Newman,potterrichard@example.com,001-541-774-7582x00497,withdrawal,50.99,2021-06-12,Savings,2813.49,2023-10-01,,,,,
Sabrina Juarez,patrick92@example.com,715-732-5572x27771,withdrawal,426.91,2022-03-29,Credit,9382.52,2022-08-17,26360.24,Auto,2020-08-26,2026-05-20 04:59:17.909429,2.89
Scott Collins,veronica19@example.org,001-449-712-6361x791,withdrawal,86.29,2022-12-26,Checking,408.18,2020-11-29,47203.82,Auto,2021-06-15,2044-11-15 04:59:17.907182,5.28
Carly Mitchell,zachary24@example.org,(728)923-5061,withdrawal,193.12,2023-01-25,Checking,4092.25,2019-09-26,8056.59,Mortgage,2019-11-16,2032-12-12 04:59:17.905853,7.33
Jamie Stone,derekhart@example.org,473.393.2625x19595,deposit,271.18,2021-02-10,Savings,5779.42,2020-08-13,27719.17,Mortgage,2022-02-12,2053-07-27 04:59:17.910650,1.54
Stacy Oliver,matthew64@example.net,+1-520-295-6567x57281,withdrawal,337.93,2020-10-22,Credit,5981.73,2020-06-08,,,,,
Brian Dillon,swilson@example.net,001-699-957-2129x33878,withdrawal,46.76,2024-01-23,Checking,176.64,2019-04-22,38994.49,Auto,2020-12-24,2026-08-31 04:59:17.910448,5.55
Christopher Hale,watsondarren@example.org,+1-917-489-0869x753,withdrawal,299.22,2023-05-01,Checking,5108.1,2023-06-15,28988.77,Personal,2020-03-23,2028-05-28 04:59:17.914468,3.06
Shelby Smith,carolyn11@example.com,580.272.0301x65432,withdrawal,345.48,2019-08-26,Credit,8471.16,2021-09-05,,,,,
Sabrina Juarez,patrick92@example.com,715-732-5572x27771,deposit,309.22,2023-03-11,Savings,9139.78,2023-01-03,26360.24,Auto,2020-08-26,2026-05-20 04:59:17.909429,2.89
Jasmin Palmer,lucascharles@example.com,827.703.9796x89557,withdrawal,381.28,2020-11-23,Checking,485.78,2020-12-04,,,,,
Jesse Osborn,dennis81@example.org,(504)953-6008x457,withdrawal,356.54,2021-05-16,Credit,6487.53,2019-09-18,,,,,
Peter Callahan,miranda13@example.org,+1-790-969-3518,withdrawal,309.74,2022-02-11,Savings,5436.03,2019-04-30,32850.56,Personal,2021-11-24,2030-09-22 04:59:17.907706,2.81
Chad Jensen,ambertaylor@example.org,6576129629,withdrawal,468.3,2019-02-25,Savings,3999.07,2020-10-11,,,,,
Danny Brown,michellearnold@example.org,824-606-7014x9045,deposit,298.4,2022-08-16,Savings,9573.53,2021-09-05,12965.19,Mortgage,2022-07-17,2032-12-27 04:59:17.908534,7.43
Eric Anderson,spencer16@example.com,851-945-5888,withdrawal,132.43,2021-12-10,Checking,8922.24,2023-04-14,,,,,
Ethan Walker,jessicashah@example.net,001-586-722-3937x922,deposit,490.26,2023-06-22,Credit,6050.42,2020-09-09,39189.96,Auto,2023-07-30,2027-03-06 04:59:17.909710,6.36
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,136.12,2021-09-04,Credit,6681.52,2021-11-09,19607.01,Mortgage,2023-07-19,2033-05-07 04:59:17.908356,2.93
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,136.12,2021-09-04,Credit,6681.52,2021-11-09,39348.0,Auto,2020-02-09,2030-01-30 04:59:17.911545,4.95
Brian Scott,marquezgeorge@example.org,001-925-602-1058x78333,deposit,67.63,2020-03-12,Savings,3935.69,2023-04-29,,,,,
Anthony Ray,desiree14@example.org,714-779-4050,withdrawal,333.17,2023-03-31,Checking,9940.6,2019-05-16,19635.04,Personal,2021-08-02,2026-01-11 04:59:17.907934,4.89
Anthony Ray,desiree14@example.org,714-779-4050,withdrawal,333.17,2023-03-31,Checking,9940.6,2019-05-16,42324.23,Mortgage,2023-04-04,2042-03-23 04:59:17.909368,5.25
Crystal George,james32@example.com,(934)652-9829,withdrawal,58.45,2019-12-12,Checking,9829.08,2022-05-29,19426.95,Auto,2021-06-18,2027-09-17 04:59:17.906511,7.29
Crystal George,james32@example.com,(934)652-9829,withdrawal,58.45,2019-12-12,Checking,9829.08,2022-05-29,13967.51,Mortgage,2023-04-29,2028-12-24 04:59:17.913098,6.27
Tommy Brooks,burtonjames@example.com,(534)691-4906,withdrawal,381.9,2024-01-05,Savings,5901.01,2021-11-01,35994.71,Mortgage,2023-09-03,2048-05-11 04:59:17.914622,3.52
Ryan Alexander,loganjohn@example.org,900.377.1792x148,withdrawal,363.18,2022-02-15,Checking,6273.5,2019-07-19,18162.6,Personal,2023-11-09,2028-11-08 04:59:17.906084,2.12
Jasmin Palmer,lucascharles@example.com,827.703.9796x89557,deposit,364.14,2022-09-27,Credit,2371.32,2023-07-06,,,,,
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,287.91,2020-05-12,Credit,6681.52,2021-11-09,19607.01,Mortgage,2023-07-19,2033-05-07 04:59:17.908356,2.93
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,287.91,2020-05-12,Credit,6681.52,2021-11-09,39348.0,Auto,2020-02-09,2030-01-30 04:59:17.911545,4.95
Francisco Potter,joneschristine@example.org,(564)921-3755x708,deposit,57.33,2022-09-15,Credit,6992.14,2022-03-08,35115.06,Auto,2023-09-01,2027-05-28 04:59:17.909841,5.87
Anthony Moore,rosariokevin@example.org,(285)263-4804,deposit,259.81,2019-07-03,Checking,660.41,2024-01-21,32793.41,Auto,2020-08-30,2042-06-07 04:59:17.906027,3.97
Anthony Moore,rosariokevin@example.org,(285)263-4804,deposit,259.81,2019-07-03,Checking,660.41,2024-01-21,36341.34,Auto,2021-05-29,2045-04-13 04:59:17.908647,4.43
Anthony Moore,rosariokevin@example.org,(285)263-4804,deposit,259.81,2019-07-03,Checking,660.41,2024-01-21,49303.25,Mortgage,2020-08-20,2044-05-31 04:59:17.910831,3.12
Jeremy Jacobs,fmartinez@example.org,001-331-228-0826x478,withdrawal,54.48,2020-03-24,Credit,9868.28,2019-07-25,42684.76,Personal,2024-01-15,2048-02-15 04:59:17.905910,1.96
Crystal George,james32@example.com,(934)652-9829,withdrawal,387.3,2019-09-26,Checking,8090.41,2021-03-08,19426.95,Auto,2021-06-18,2027-09-17 04:59:17.906511,7.29
Crystal George,james32@example.com,(934)652-9829,withdrawal,387.3,2019-09-26,Checking,8090.41,2021-03-08,13967.51,Mortgage,2023-04-29,2028-12-24 04:59:17.913098,6.27
Monica Graves,xday@example.net,402.918.5084x3030,withdrawal,61.79,2023-07-23,Credit,477.03,2020-03-23,48233.91,Personal,2023-12-03,2048-03-25 04:59:17.908108,4.7
Monica Graves,xday@example.net,402.918.5084x3030,withdrawal,61.79,2023-07-23,Credit,477.03,2020-03-23,5710.02,Mortgage,2023-11-28,2047-03-11 04:59:17.909104,5.45
Jamie Stone,derekhart@example.org,473.393.2625x19595,withdrawal,192.54,2020-11-09,Savings,7533.24,2019-04-16,27719.17,Mortgage,2022-02-12,2053-07-27 04:59:17.910650,1.54
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,418.3,2023-09-09,Checking,2161.94,2021-11-06,25666.75,Auto,2023-05-09,2039-04-28 04:59:17.905741,6.84
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,418.3,2023-09-09,Checking,2161.94,2021-11-06,23853.85,Personal,2024-01-30,2038-02-12 04:59:17.910713,7.41
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,418.3,2023-09-09,Checking,2161.94,2021-11-06,8092.2,Personal,2021-08-18,2036-04-08 04:59:17.911277,2.85
Tommy Brooks,burtonjames@example.com,(534)691-4906,withdrawal,112.4,2020-01-04,Savings,5901.01,2021-11-01,35994.71,Mortgage,2023-09-03,2048-05-11 04:59:17.914622,3.52
Shelby Smith,carolyn11@example.com,580.272.0301x65432,deposit,259.17,2023-02-10,Credit,8471.16,2021-09-05,,,,,
Danny Brown,michellearnold@example.org,824-606-7014x9045,deposit,188.5,2023-02-12,Savings,9418.14,2021-01-26,12965.19,Mortgage,2022-07-17,2032-12-27 04:59:17.908534,7.43
David Rasmussen,fburns@example.net,9347152436,withdrawal,154.24,2019-09-10,Credit,1327.94,2023-08-25,,,,,
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,332.36,2019-02-11,Checking,2442.05,2021-03-14,15237.0,Mortgage,2022-04-24,2050-08-30 04:59:17.908761,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,332.36,2019-02-11,Checking,2442.05,2021-03-14,29065.5,Personal,2021-04-03,2029-10-01 04:59:17.912006,2.95
Anna Cummings,jason93@example.org,685-791-5979,withdrawal,257.1,2022-09-23,Checking,439.38,2020-05-12,44125.94,Auto,2021-10-03,2046-01-04 04:59:17.905568,6.1
Anna Cummings,jason93@example.org,685-791-5979,withdrawal,257.1,2022-09-23,Checking,439.38,2020-05-12,34105.55,Mortgage,2019-12-13,2038-03-23 04:59:17.908052,3.13
Anna Cummings,jason93@example.org,685-791-5979,withdrawal,257.1,2022-09-23,Checking,439.38,2020-05-12,30019.7,Personal,2022-05-26,2047-06-19 04:59:17.910948,7.25
Anna Cummings,jason93@example.org,685-791-5979,withdrawal,257.1,2022-09-23,Checking,439.38,2020-05-12,46713.9,Mortgage,2020-01-25,2033-08-24 04:59:17.911007,2.13
Anna Cummings,jason93@example.org,685-791-5979,withdrawal,257.1,2022-09-23,Checking,439.38,2020-05-12,45761.17,Personal,2022-09-18,2043-11-06 04:59:17.911405,7.22
Kim Stone,garrett28@example.org,001-668-236-9938,deposit,26.44,2020-09-28,Savings,6995.71,2019-04-05,,,,,
Brian Dillon,swilson@example.net,001-699-957-2129x33878,deposit,459.22,2019-05-09,Checking,176.64,2019-04-22,38994.49,Auto,2020-12-24,2026-08-31 04:59:17.910448,5.55
Kayla Blair,hmcmillan@example.com,(500)245-2355,withdrawal,53.02,2023-11-13,Checking,9925.68,2020-05-04,,,,,
Daniel Ballard,laura73@example.com,(890)775-8199,deposit,126.32,2019-03-08,Savings,6248.9,2023-04-07,38402.89,Mortgage,2020-05-25,2048-01-31 04:59:17.906735,4.64
Daniel Ballard,laura73@example.com,(890)775-8199,deposit,126.32,2019-03-08,Savings,6248.9,2023-04-07,20567.09,Personal,2019-11-29,2051-05-06 04:59:17.909159,4.29
Daniel Ballard,laura73@example.com,(890)775-8199,deposit,126.32,2019-03-08,Savings,6248.9,2023-04-07,32936.11,Mortgage,2020-12-25,2025-03-21 04:59:17.912443,6.22
