TransactionID,TransactionType,Amount,TransactionDate,CustomerID,FullName,Email,Phone,AccountID,AccountType,Balance,OpeningDate,LoanID,LoanAmount,LoanType,StartDate,EndDate,InterestRate
49,deposit,474.37,2019-08-11,57,Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,1,Savings,8330.83,2024-01-23,128.0,40432.8,Mortgage,2023-10-18,2052-01-14 04:59:17.913174,4.29
49,deposit,474.37,2019-08-11,57,Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,1,Savings,8330.83,2024-01-23,149.0,49124.49,Auto,2022-11-05,2031-07-07 04:59:17.914897,5.58
50,deposit,227.4,2023-12-16,5,Danny Brown,michellearnold@example.org,824-606-7014x9045,134,Checking,2511.55,2023-02-23,60.0,12965.19,Mortgage,2022-07-17,2032-12-27 04:59:17.908534,7.43
51,withdrawal,370.16,2020-11-15,91,Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,26,Credit,2881.24,2019-05-06,44.0,32428.9,Mortgage,2021-06-24,2050-01-08 04:59:17.907588,2.12
51,withdrawal,370.16,2020-11-15,91,Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,26,Credit,2881.24,2019-05-06,48.0,31406.77,Personal,2021-02-27,2038-10-12 04:59:17.907821,4.63
51,withdrawal,370.16,2020-11-15,91,Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,26,Credit,2881.24,2019-05-06,76.0,27834.0,Personal,2019-12-05,2037-08-15 04:59:17.909497,2.15
51,withdrawal,370.16,2020-11-15,91,Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,26,Credit,2881.24,2019-05-06,138.0,27873.08,Auto,2022-01-19,2037-06-03 04:59:17.913974,7.03
52,deposit,351.68,2019-04-26,17,Jasmin Palmer,lucascharles@example.com,827.703.9796x89557,8,Checking,9461.84,2021-05-11,,,,,,
53,withdrawal,50.99,2021-06-12,75,Daniel Newman,potterrichard@example.com,001-541-774-7582x00497,72,Savings,2813.49,2023-10-01,,,,,,
54,withdrawal,426.91,2022-03-29,96,Sabrina Juarez,patrick92@example.com,715-732-5572x27771,48,Credit,9382.52,2022-08-17,75.0,26360.24,Auto,2020-08-26,2026-05-20 04:59:17.909429,2.89
55,withdrawal,86.29,2022-12-26,90,Scott Collins,veronica19@example.org,001-449-712-6361x791,131,Checking,408.18,2020-11-29,38.0,47203.82,Auto,2021-06-15,2044-11-15 04:59:17.907182,5.28
56,withdrawal,193.12,2023-01-25,67,Carly Mitchell,zachary24@example.org,(728)923-5061,4,Checking,4092.25,2019-09-26,15.0,8056.59,Mortgage,2019-11-16,2032-12-12 04:59:17.905853,7.33
57,deposit,271.18,2021-02-10,68,Jamie Stone,derekhart@example.org,473.393.2625x19595,66,Savings,5779.42,2020-08-13,94.0,27719.17,Mortgage,2022-02-12,2053-07-27 04:59:17.910650,1.54
58,withdrawal,337.93,2020-10-22,33,Stacy Oliver,matthew64@example.net,+1-520-295-6567x57281,93,Credit,5981.73,2020-06-08,,,,,,
59,withdrawal,46.76,2024-01-23,76,Brian Dillon,swilson@example.net,001-699-957-2129x33878,192,Checking,176.64,2019-04-22,91.0,38994.49,Auto,2020-12-24,2026-08-31 04:59:17.910448,5.55
60,withdrawal,299.22,2023-05-01,20,Christopher Hale,watsondarren@example.org,+1-917-489-0869x753,63,Checking,5108.1,2023-06-15,144.0,28988.77,Personal,2020-03-23,2028-05-28 04:59:17.914468,3.06
61,withdrawal,345.48,2019-08-26,34,Shelby Smith,carolyn11@example.com,580.272.0301x65432,123,Credit,8471.16,2021-09-05,,,,,,
62,deposit,309.22,2023-03-11,96,Sabrina Juarez,patrick92@example.com,715-732-5572x27771,31,Savings,9139.78,2023-01-03,75.0,26360.24,Auto,2020-08-26,2026-05-20 04:59:17.909429,2.89
63,withdrawal,381.28,2020-11-23,17,Jasmin Palmer,lucascharles@example.com,827.703.9796x89557,116,Checking,485.78,2020-12-04,,,,,,
64,withdrawal,356.54,2021-05-16,35,Jesse Osborn,dennis81@example.org,(504)953-6008x457,82,Credit,6487.53,2019-09-18,,,,,,
65,withdrawal,309.74,2022-02-11,93,Peter Callahan,miranda13@example.org,+1-790-969-3518,155,Savings,5436.03,2019-04-30,46.0,32850.56,Personal,2021-11-24,2030-09-22 04:59:17.907706,2.81
66,withdrawal,468.3,2019-02-25,1,Chad Jensen,ambertaylor@example.org,6576129629,16,Savings,3999.07,2020-10-11,,,,,,
67,deposit,298.4,2022-08-16,5,Danny Brown,michellearnold@example.org,824-606-7014x9045,129,Savings,9573.53,2021-09-05,60.0,12965.19,Mortgage,2022-07-17,2032-12-27 04:59:17.908534,7.43
68,withdrawal,132.43,2021-12-10,71,Eric Anderson,spencer16@example.com,851-945-5888,40,Checking,8922.24,2023-04-14,,,,,,
69,deposit,490.26,2023-06-22,14,Ethan Walker,jessicashah@example.net,001-586-722-3937x922,58,Credit,6050.42,2020-09-09,79.0,39189.96,Auto,2023-07-30,2027-03-06 04:59:17.909710,6.36
70,withdrawal,136.12,2021-09-04,12,Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,28,Credit,6681.52,2021-11-09,57.0,19607.01,Mortgage,2023-07-19,2033-05-07 04:59:17.908356,2.93
70,withdrawal,136.12,2021-09-04,12,Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,28,Credit,6681.52,2021-11-09,108.0,39348.0,Auto,2020-02-09,2030-01-30 04:59:17.911545,4.95
71,deposit,67.63,2020-03-12,97,Brian Scott,marquezgeorge@example.org,001-925-602-1058x78333,159,Savings,3935.69,2023-04-29,,,,,,
72,withdrawal,333.17,2023-03-31,9,Anthony Ray,desiree14@example.org,714-779-4050,55,Checking,9940.6,2019-05-16,50.0,19635.04,Personal,2021-08-02,2026-01-11 04:59:17.907934,4.89
72,withdrawal,333.17,2023-03-31,9,Anthony Ray,desiree14@example.org,714-779-4050,55,Checking,9940.6,2019-05-16,74.0,42324.23,Mortgage,2023-04-04,2042-03-23 04:59:17.909368,5.25
73,withdrawal,58.45,2019-12-12,73,Crystal George,james32@example.com,(934)652-9829,51,Checking,9829.08,2022-05-29,26.0,19426.95,Auto,2021-06-18,2027-09-17 04:59:17.906511,7.29
73,withdrawal,58.45,2019-12-12,73,Crystal George,james32@example.com,(934)652-9829,51,Checking,9829.08,2022-05-29,127.0,13967.51,Mortgage,2023-04-29,2028-12-24 04:59:17.913098,6.27
74,withdrawal,381.9,2024-01-05,77,Tommy Brooks,burtonjames@example.com,(534)691-4906,169,Savings,5901.01,2021-11-01,146.0,35994.71,Mortgage,2023-09-03,2048-05-11 04:59:17.914622,3.52
75,withdrawal,363.18,2022-02-15,28,Ryan Alexander,loganjohn@example.org,900.377.1792x148,41,Checking,6273.5,2019-07-19,19.0,18162.6,Personal,2023-11-09,2028-11-08 04:59:17.906084,2.12
76,deposit,364.14,2022-09-27,17,Jasmin Palmer,lucascharles@example.com,827.703.9796x89557,21,Credit,2371.32,2023-07-06,,,,,,
77,withdrawal,287.91,2020-05-12,12,Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,28,Credit,6681.52,2021-11-09,57.0,19607.01,Mortgage,2023-07-19,2033-05-07 04:59:17.908356,2.93
77,withdrawal,287.91,2020-05-12,12,Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,28,Credit,6681.52,2021-11-09,108.0,39348.0,Auto,2020-02-09,2030-01-30 04:59:17.911545,4.95
78,deposit,57.33,2022-09-15,26,Francisco Potter,joneschristine@example.org,(564)921-3755x708,98,Credit,6992.14,2022-03-08,81.0,35115.06,Auto,2023-09-01,2027-05-28 04:59:17.909841,5.87
79,deposit,259.81,2019-07-03,3,Anthony Moore,rosariokevin@example.org,(285)263-4804,103,Checking,660.41,2024-01-21,18.0,32793.41,Auto,2020-08-30,2042-06-07 04:59:17.906027,3.97
79,deposit,259.81,2019-07-03,3,Anthony Moore,rosariokevin@example.org,(285)263-4804,103,Checking,660.41,2024-01-21,62.0,36341.34,Auto,2021-05-29,2045-04-13 04:59:17.908647,4.43
79,deposit,259.81,2019-07-03,3,Anthony Moore,rosariokevin@example.org,(285)263-4804,103,Checking,660.41,2024-01-21,97.0,49303.25,Mortgage,2020-08-20,2044-05-31 04:59:17.910831,3.12
80,withdrawal,54.48,2020-03-24,69,Jeremy Jacobs,fmartinez@example.org,001-331-228-0826x478,57,Credit,9868.28,2019-07-25,16.0,42684.76,Personal,2024-01-15,2048-02-15 04:59:17.905910,1.96
81,withdrawal,387.3,2019-09-26,73,Crystal George,james32@example.com,(934)652-9829,87,Checking,8090.41,2021-03-08,26.0,19426.95,Auto,2021-06-18,2027-09-17 04:59:17.906511,7.29
81,withdrawal,387.3,2019-09-26,73,Crystal George,james32@example.com,(934)652-9829,87,Checking,8090.41,2021-03-08,127.0,13967.51,Mortgage,2023-04-29,2028-12-24 04:59:17.913098,6.27
82,withdrawal,61.79,2023-07-23,38,Monica Graves,xday@example.net,402.918.5084x3030,12,Credit,477.03,2020-03-23,53.0,48233.91,Personal,2023-12-03,2048-03-25 04:59:17.908108,4.7
82,withdrawal,61.79,2023-07-23,38,Monica Graves,xday@example.net,402.918.5084x3030,12,Credit,477.03,2020-03-23,70.0,5710.02,Mortgage,2023-11-28,2047-03-11 04:59:17.909104,5.45
83,withdrawal,192.54,2020-11-09,68,Jamie Stone,derekhart@example.org,473.393.2625x19595,69,Savings,7533.24,2019-04-16,94.0,27719.17,Mortgage,2022-02-12,2053-07-27 04:59:17.910650,1.54
84,withdrawal,418.3,2023-09-09,89,Eric Phillips,mark13@example.com,(699)516-7638x82918,85,Checking,2161.94,2021-11-06,13.0,25666.75,Auto,2023-05-09,2039-04-28 04:59:17.905741,6.84
84,withdrawal,418.3,2023-09-09,89,Eric Phillips,mark13@example.com,(699)516-7638x82918,85,Checking,2161.94,2021-11-06,95.0,23853.85,Personal,2024-01-30,2038-02-12 04:59:17.910713,7.41
84,withdrawal,418.3,2023-09-09,89,Eric Phillips,mark13@example.com,(699)516-7638x82918,85,Checking,2161.94,2021-11-06,104.0,8092.2,Personal,2021-08-18,2036-04-08 04:59:17.911277,2.85
85,withdrawal,112.4,2020-01-04,77,Tommy Brooks,burtonjames@example.com,(534)691-4906,169,Savings,5901.01,2021-11-01,146.0,35994.71,Mortgage,2023-09-03,2048-05-11 04:59:17.914622,3.52
86,deposit,259.17,2023-02-10,34,Shelby Smith,carolyn11@example.com,580.272.0301x65432,123,Credit,8471.16,2021-09-05,,,,,,
